IP Address,Min RTT (ms),Avg RTT (ms),Max RTT (ms),Status
speedtest.mtl2.ca.leaseweb.net,28.82,29.55,30.06,Success
speedtest.netone.nl,161.21,194.24,227.97,Success
speedtest.nl1.mirhosting.net,95.28,96.07,96.43,Success
speedtest.nocix.net,14.49,15.29,15.90,Success
speedtest.nyc1.us.leaseweb.net,27.11,27.19,27.31,Success
speedtest.phx1.us.leaseweb.net,46.54,47.12,47.72,Success
speedtest.sao1.edgoo.net,204.40,233.99,254.04,Success
speedtest.sea11.us.leaseweb.net,56.73,57.16,58.03,Success
speedtest.sfo12.us.leaseweb.net,54.28,55.58,58.02,Success
speedtest.shinternet.ch,124.34,162.42,203.70,Success
speedtest.sin1.sg.leaseweb.net,264.68,304.42,343.83,Success
speedtest.singnet.com.sg,226.78,267.04,329.46,Success
speedtest.syd12.au.leaseweb.net,204.07,238.14,271.98,Success
speedtest.telecom.mu,316.42,342.89,409.15,Success
speedtest.tyo11.jp.leaseweb.net,164.12,184.21,220.27,Success
speedtest.uztelecom.uz,191.59,229.22,276.27,Success
speedtest.wdc2.us.leaseweb.net,27.50,29.49,32.58,Success
speedtest.wobcom.de,94.40,118.75,190.36,Success
speedtest.wtnet.de,125.07,162.11,204.36,Success
speedtest.xmission.com,71.76,76.46,82.20,Success
speedtest1.cwpanama.net,71.50,72.31,72.76,Success
speedtest1.flowjamaica.com,52.03,52.61,53.16,Success
speedtest1.sox.rs,123.10,179.20,224.19,Success
speedtest120.dal1.tx.hostedbackbone.net,27.20,27.57,28.10,Success
speedtest15.suddenlink.net,N/A,N/A,N/A,Failed/Skipped
speedtest2.comvergence.com.au,220.53,257.35,300.34,Success
speedtest2.lightningfibre.net.uk,89.58,90.64,92.23,Success
speedtest6.cwpanama.net,71.30,71.97,72.66,Success
speedtestfl.telecom.mu,323.28,357.04,391.39,Success
syd.proof.ovh.net,290.67,317.24,353.37,Success
t5.cscs.ch,106.20,152.70,206.34,Success
yyc-speedtest.xplore.ca,41.58,42.44,42.96,Success
